N,T,Iterations,Diff,Time
3,-10,22,0.000816,0.00002061
3,-5,22,0.000554,0.00002042
3,0,21,0.000685,0.00001954
3,5,20,0.000726,0.00001880
3,10,19,0.000571,0.00001805
3,15,16,0.000750,0.00001550
3,20,14,0.000710,0.00001390
3,25,18,0.000712,0.00001708
3,30,20,0.000548,0.00001882
3,35,21,0.000560,0.00001963
5,-10,50,0.000983,0.00010662
5,-5,49,0.000869,0.00010335
5,0,47,0.000920,0.00010176
5,5,45,0.000811,0.00009534
5,10,41,0.000864,0.00008802
5,15,32,0.000883,0.00006904
5,20,35,0.000966,0.00007505
5,25,42,0.000886,0.00009681
5,30,45,0.000979,0.00009549
5,35,48,0.000789,0.00009869
10,-10,161,0.000969,0.00166058
10,-5,155,0.000950,0.00162172
10,0,146,0.000996,0.00147875
10,5,133,0.000994,0.00140961
10,10,103,0.000973,0.00107883
10,15,113,0.000953,0.00116716
10,20,137,0.000931,0.00142896
10,25,148,0.000990,0.00155874
10,30,156,0.000980,0.00162079
10,35,344,0.000977,0.01020921
15,-10,333,0.000999,0.00984367
15,-5,320,0.000995,0.00945831
15,0,303,0.000973,0.00897733
15,5,276,0.000978,0.00816367
15,10,216,0.000999,0.00642813
15,15,225,0.000965,0.00665194
15,20,279,0.000967,0.00824177
15,25,304,0.000997,0.00899049
15,30,322,0.000964,0.00954278
15,35,581,0.000979,0.03825277
20,-10,562,0.000997,0.03732264
20,-5,540,0.000978,0.03549213
20,0,509,0.000981,0.03352386
20,5,461,0.000990,0.03026094
20,10,352,0.000987,0.02312708
20,15,383,0.000978,0.02523181
20,20,471,0.000993,0.03119350
20,25,515,0.000983,0.03392304
20,30,544,0.000986,0.03617806
20,35,876,0.000996,0.11603249
25,-10,848,0.000997,0.10817548
25,-5,813,0.000997,0.10400744
25,0,766,0.000993,0.09781633
25,5,693,0.000996,0.08840792
25,10,527,0.000994,0.06798722
25,15,571,0.000989,0.07311271
25,20,708,0.000988,0.09119881
25,25,775,0.000989,0.09941849
25,30,819,0.001000,0.10486085
25,35,1000,4.175146,1.01439992
50,-10,1000,2.774264,1.01519221
50,-5,1000,1.659105,1.01444873
50,0,1000,0.829669,1.02268702
50,5,1000,0.285957,1.01961392
50,10,1000,0.027968,1.01439559
50,15,1000,0.055703,1.02360930
50,20,1000,0.369161,1.01461035
50,25,1000,0.968342,1.02042190
50,30,1000,1.853246,0.86541451
50,35,1000,49.236657,11.98829150
100,-10,1000,33.034657,12.95449524
100,-5,1000,20.132577,12.96161778
100,0,1000,10.530416,12.98585908
100,5,1000,4.228174,12.99829097
100,10,1000,1.225851,13.10950323
100,15,1000,1.523447,13.09037295
100,20,1000,5.120962,12.99639363
100,25,1000,12.018396,13.08941247
100,30,1000,22.215750,13.06093847
