N, T, iter, diff, Time
3, -10.000000, 13, 0.000727, 0.00000839
3, -5.000000, 13, 0.000490, 0.00000828
3, 0.000000, 13, 0.000300, 0.00000837
3, 5.000000, 12, 0.000623, 0.00000781
3, 10.000000, 11, 0.000936, 0.00000720
3, 15.000000, 10, 0.000513, 0.00000676
3, 20.000000, 9, 0.000987, 0.00000631
3, 25.000000, 11, 0.000744, 0.00000724
3, 30.000000, 12, 0.000543, 0.00000791
3, 35.000000, 13, 0.000272, 0.00000842
5, -10.000000, 29, 0.000656, 0.00004791
5, -5.000000, 28, 0.000761, 0.00004579
5, 0.000000, 27, 0.000786, 0.00004474
5, 5.000000, 26, 0.000662, 0.00004306
5, 10.000000, 24, 0.000627, 0.00004012
5, 15.000000, 18, 0.000613, 0.00003124
5, 20.000000, 22, 0.000842, 0.00003702
5, 25.000000, 25, 0.000773, 0.00004129
5, 30.000000, 27, 0.000594, 0.00004486
5, 35.000000, 28, 0.000617, 0.00004607
10, -10.000000, 92, 0.000995, 0.00095790
10, -5.000000, 90, 0.000911, 0.00093170
10, 0.000000, 87, 0.000880, 0.00096673
10, 5.000000, 82, 0.000973, 0.00085588
10, 10.000000, 75, 0.000981, 0.00077912
10, 15.000000, 57, 0.000974, 0.00059494
10, 20.000000, 68, 0.000956, 0.00070898
10, 25.000000, 79, 0.000897, 0.00082049
10, 30.000000, 84, 0.000985, 0.00087493
10, 35.000000, 88, 0.000952, 0.00095747
15, -10.000000, 191, 0.000946, 0.00625680
15, -5.000000, 185, 0.000999, 0.00613538
15, 0.000000, 179, 0.000948, 0.00583659
15, 5.000000, 170, 0.000945, 0.00550877
15, 10.000000, 156, 0.000943, 0.00510271
15, 15.000000, 123, 0.000943, 0.00399164
15, 20.000000, 135, 0.000956, 0.00439694
15, 25.000000, 160, 0.000946, 0.00523349
15, 30.000000, 172, 0.000977, 0.00559448
15, 35.000000, 181, 0.000928, 0.00586862
20, -10.000000, 322, 0.000976, 0.02401303
20, -5.000000, 313, 0.000966, 0.02343542
20, 0.000000, 301, 0.000982, 0.02239221
20, 5.000000, 285, 0.000992, 0.02125837
20, 10.000000, 261, 0.000962, 0.01945675
20, 15.000000, 201, 0.000964, 0.01502155
20, 20.000000, 228, 0.000982, 0.01714658
20, 25.000000, 270, 0.000961, 0.02011429
20, 30.000000, 291, 0.000965, 0.02166728
20, 35.000000, 305, 0.000975, 0.02285339
25, -10.000000, 486, 0.000990, 0.07295765
25, -5.000000, 472, 0.000987, 0.07100933
25, 0.000000, 454, 0.000994, 0.06842523
25, 5.000000, 430, 0.000992, 0.06473826
25, 10.000000, 393, 0.000978, 0.05906018
25, 15.000000, 303, 0.000992, 0.04573639
25, 20.000000, 340, 0.000984, 0.05111785
25, 25.000000, 405, 0.000980, 0.06105468
25, 30.000000, 437, 0.000999, 0.06586419
25, 35.000000, 459, 0.000999, 0.06884431
50, -10.000000, 1000, 0.373455, 1.33446521
50, -5.000000, 1000, 0.247435, 1.33414627
50, 0.000000, 1000, 0.147263, 1.33417965
50, 5.000000, 1000, 0.072938, 1.33433421
50, 10.000000, 1000, 0.024462, 1.33422659
50, 15.000000, 1000, 0.001833, 1.33422661
50, 20.000000, 1000, 0.005052, 1.33408310
50, 25.000000, 1000, 0.034119, 1.33400506
50, 30.000000, 1000, 0.089033, 1.33390599
50, 35.000000, 1000, 0.169796, 1.33469809
100, -10.000000, 1000, 55.981285, 16.33353811
100, -5.000000, 1000, 37.318914, 16.32177506
100, 0.000000, 1000, 22.463534, 16.39540554
100, 5.000000, 1000, 11.415146, 16.44327563
100, 10.000000, 1000, 4.173749, 16.44289439
100, 15.000000, 1000, 0.739343, 16.43759100
100, 20.000000, 1000, 1.111930, 16.36467033
100, 25.000000, 1000, 5.291507, 16.25400242
100, 30.000000, 1000, 13.278076, 16.25520954
100, 35.000000, 1000, 25.071637, 16.25163632
