N,T,Iterations,Diff,Time
3,-10,22,0.000816,0.00001688
3,-5,22,0.000554,0.00001688
3,0,21,0.000685,0.00001609
3,5,20,0.000726,0.00001583
3,10,19,0.000571,0.00001499
3,15,16,0.000750,0.00001310
3,20,14,0.000710,0.00001175
3,25,18,0.000712,0.00001435
3,30,20,0.000548,0.00001554
3,35,21,0.000560,0.00001716
5,-10,50,0.000983,0.00009003
5,-5,49,0.000869,0.00008797
5,0,47,0.000920,0.00008342
5,5,45,0.000811,0.00008069
5,10,41,0.000864,0.00007525
5,15,32,0.000883,0.00005905
5,20,35,0.000966,0.00007598
5,25,42,0.000886,0.00007677
5,30,45,0.000979,0.00008113
5,35,48,0.000789,0.00008520
10,-10,166,0.000965,0.00146213
10,-5,161,0.000969,0.00141094
10,0,155,0.000950,0.00136456
10,5,146,0.000996,0.00128888
10,10,133,0.000994,0.00123756
10,15,103,0.000973,0.00090683
10,20,113,0.000953,0.00099934
10,25,137,0.000931,0.00120342
10,30,148,0.000990,0.00129685
10,35,156,0.000980,0.00136487
15,-10,344,0.000977,0.00794126
15,-5,333,0.000999,0.00767324
15,0,320,0.000995,0.00729117
15,5,303,0.000973,0.00700278
15,10,276,0.000978,0.00630133
15,15,216,0.000999,0.00494444
15,20,225,0.000965,0.00526734
15,25,279,0.000967,0.00649236
15,30,304,0.000997,0.00704123
15,35,322,0.000964,0.00748799
20,-10,581,0.000979,0.03200177
20,-5,562,0.000997,0.03094132
20,0,540,0.000978,0.02949897
20,5,509,0.000981,0.02803497
20,10,461,0.000990,0.02536474
20,15,352,0.000987,0.01977012
20,20,383,0.000978,0.02100455
20,25,471,0.000993,0.02582474
20,30,515,0.000983,0.02868520
20,35,544,0.000986,0.02986723
25,-10,876,0.000996,0.09761516
25,-5,848,0.000997,0.09459554
25,0,813,0.000997,0.09091410
25,5,766,0.000993,0.08511653
25,10,693,0.000996,0.07686691
25,15,527,0.000994,0.05816456
25,20,571,0.000989,0.06366787
25,25,708,0.000988,0.07862303
25,30,775,0.000989,0.08592410
25,35,819,0.001000,0.09044786
50,-10,1000,4.175146,0.87005659
50,-5,1000,2.774264,0.86898154
50,0,1000,1.659105,0.87153700
50,5,1000,0.829669,0.86877835
50,10,1000,0.285957,0.87238432
50,15,1000,0.027968,0.86942234
50,20,1000,0.055703,0.86926669
50,25,1000,0.369161,0.86902542
50,30,1000,0.968342,0.87160648
50,35,1000,1.853246,0.86953402
100,-10,1000,49.236657,12.63279020
100,-5,1000,33.034657,12.51156658
100,0,1000,20.132577,13.30352650
100,5,1000,10.530416,13.41899374
100,10,1000,4.228174,13.43909693
100,15,1000,1.225851,13.49521917
100,20,1000,1.523447,13.44331693
100,25,1000,5.120962,13.50451318
100,30,1000,12.018396,13.00322769
100,35,1000,22.215750,12.88486579
